Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2016-17
21ST CENTURY CHARTER SCH OF GARY,Indiana,1800046,4886
21ST CENTURY CYBER CS,Pennsylvania,4200091,5809
A CENTER FOR CREATIVE EDUCATION (79457),Arizona,400328,4156
A E R O  SPEC EDUC COOP,Illinois,1700024,†
A W BEATTIE CAREER CENTER,Pennsylvania,4280010,†
A W BROWN LEADERSHIP ACADEMY,Texas,4800095,5324
A+ ACADEMY,Texas,4800203,6364
A+ ARTS ACADEMY,Ohio,3900305,5057
A+ CHILDREN'S ACADEMY,Ohio,3901480,5180
A+ UNLIMITED POTENTIAL,TEXAS,4801453,6670
A-C CENTRAL CUSD 262,Illinois,1700105,5965
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,5100033,†
A.C.E. ACADEMY,North Carolina,3700372,3527
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,2700106,7677
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,2200056,0
ABBEVILLE 60,South Carolina,4500690,6189
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,5500030,5112
ABBOTT ISD,Texas,4807380,5739
ABBOTT UNION FREE SCHOOL DISTRICT,New York,3602300,†
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,2500051,7216
ABC UNIFIED,California,601620,6804
ABERDEEN DISTRICT,Idaho,1600030,4942
ABERDEEN SCHOOL DIST,Mississippi,2800360,5670
ABERDEEN SCHOOL DISTRICT,Washington,5300030,7335
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,4602070,5482
ABERNATHY ISD,Texas,4807410,6624
ABILENE,Kansas,2003180,5467
ABILENE ISD,Texas,4807440,5993
ABINGDON-AVON CUSD 276,Illinois,1701413,5103
ABINGTON,Massachusetts,2501650,8706
ABINGTON HEIGHTS SD,Pennsylvania,4202010,6373
ABINGTON SD,Pennsylvania,4202040,9944
ABLE CHARTER ABLE LEARNING,OKLAHOMA,4000790,2695
ABQ SCHOOL OF EXCELLENCE,New Mexico,3500122,3639
ABQ SIGN LANGUAGE ACADEMY,New Mexico,3500123,15722
ABSAROKEE ELEM,Montana,3001710,7095
ABSAROKEE H S,Montana,3001740,9906
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,3400660,9317
ACADEMIA ANTONIA ALONSO,Delaware,1000053,3361
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,2700185,5989
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,2600330,0
ACADEMIC ARTS HIGH SCHOOL,Minnesota,2700361,7369
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,3601001,0
ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Arkansas,500059,3822
ACADEMIE LAFAYETTE,Missouri,2900017,6118
ACADEMY CHARTER HIGH SCHOOL,New Jersey,3400048,11198
ACADEMY CHARTER SCHOOL,New York,3600997,0
ACADEMY DEL SOL INC. (90199),Arizona,400797,2794
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,4800093,10206
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,2600166,0
ACADEMY FOR INTEGRATED ARTS,Missouri,2900604,5175
ACADEMY FOR MATH ENGINEERING & SCIENCE,Utah,4900017,4021
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,3300040,†
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,New Jersey,3400741,8338
ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN,Ohio,3901472,3362
ACADEMY ISD,Texas,4807470,5464
ACADEMY OF ACCELERATED LEARNING INC,Texas,4800032,4891
ACADEMY OF BUILDING INDUSTRIES INC. (85540),Arizona,400414,4364
ACADEMY OF CONSTRUCTION AND ENGINEE,MINNESOTA,2700441,†
ACADEMY OF DALLAS,Texas,4800090,4019
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,1000017,4915
ACADEMY OF EXCELLENCE  INC.,Arizona,400128,4859
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,1100094,†
ACADEMY OF INTERNATIONAL STUDIES,Michigan,2601002,0
ACADEMY OF MATHEMATICS AND SCIENCE INC. (79961),Arizona,400368,6926
ACADEMY OF MATHEMATICS AND SCIENCE INC. (92768),ARIZONA,400940,3048
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC. (90878),Arizona,400891,3063
ACADEMY OF PERSONALIZED EXCELLENCE,MINNESOTA,2700432,†
ACADEMY OF THE CITY CHARTER SCHOOL,New York,3601053,0
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,2500021,9712
ACADEMY OF TRADES AND TECH,New Mexico,3500129,8034
ACADEMY OF TUCSON INC. (78897),Arizona,400202,4016
ACADEMY OF WARREN,Michigan,2600308,0
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,801920,5463
ACADEMY WITH COMMUNITY PARTNERS-ARIZONA INC (79213),Arizona,400276,4417
ACADIA ACADEMY,MAINE,2314831,4562
ACADIA PARISH,Louisiana,2200030,5203
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,2200231,4100
ACALANES UNION HIGH,California,601650,7498
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364),Arizona,400129,4352
